masse_A
t;x;y;frame
4,315600000E0;1,150000000E1;-5,550000000E1;2,590000000E2
4,332255556E0;1,150000000E1;-5,800000000E1;2,600000000E2
4,348922222E0;1,048215093E1;-6,006396829E1;2,610000000E2
4,365611111E0;1,042568341E1;-6,097993181E1;2,620000000E2
4,382244444E0;1,008738287E1;-6,087105197E1;2,630000000E2
4,398933333E0;1,008097092E1;-5,992513940E1;2,640000000E2
4,415577778E0;9,405322047E0;-5,901254336E1;2,650000000E2
4,432244444E0;9,450795263E0;-5,899467151E1;2,660000000E2
4,448911111E0;1,026107970E1;-5,993700989E1;2,670000000E2
4,465566667E0;1,097126012E1;-6,078839169E1;2,680000000E2
4,482233333E0;1,163208884E1;-6,176815017E1;2,690000000E2
4,498877778E0;1,142998241E1;-6,197463376E1;2,700000000E2
4,515555556E0;1,204646706E1;-6,193386431E1;2,710000000E2
4,532211111E0;1,064563442E1;-6,114026327E1;2,720000000E2
4,548888889E0;1,057189240E1;-6,101546931E1;2,730000000E2
4,565533333E0;9,603297690E0;-6,107366153E1;2,740000000E2
4,582200000E0;9,548675079E0;-6,199141479E1;2,750000000E2
4,598866667E0;9,475340143E0;-6,293786867E1;2,760000000E2
4,615555556E0;9,474265695E0;-6,380473815E1;2,770000000E2
4,632188889E0;8,594214997E0;-6,398848616E1;2,780000000E2
4,648844444E0;8,594794321E0;-6,398958107E1;2,790000000E2
4,665533333E0;8,659262168E0;-6,393334674E1;2,800000000E2
4,682177778E0;9,276809769E0;-6,394971417E1;2,810000000E2
4,698833333E0;9,587025434E0;-6,392564009E1;2,820000000E2
4,715500000E0;9,538208469E0;-6,399672470E1;2,830000000E2
4,732166667E0;9,414602312E0;-6,411251328E1;2,840000000E2
4,748822222E0;1,039679114E1;-6,486017297E1;2,850000000E2
4,765500000E0;9,583451229E0;-6,496985016E1;2,860000000E2
4,782144444E0;8,991814096E0;-6,501145315E1;2,870000000E2
4,798822222E0;8,424469460E0;-6,512979966E1;2,880000000E2
4,815511111E0;7,867955615E0;-6,512914140E1;2,890000000E2
4,832144444E0;8,610582556E0;-6,577875174E1;2,900000000E2
4,848800000E0;8,035061209E0;-6,601333653E1;2,910000000E2
4,865466667E0;7,608629894E0;-6,604854075E1;2,920000000E2
4,882122222E0;7,387765887E0;-6,618759753E1;2,930000000E2
4,898788889E0;8,397337154E0;-6,686030991E1;2,940000000E2
4,915455556E0;8,262397011E0;-6,695021754E1;2,950000000E2
4,932111111E0;8,478135039E0;-6,697401485E1;2,960000000E2
4,948777778E0;8,362403221E0;-6,701534174E1;2,970000000E2
4,965466667E0;8,056630120E0;-6,706240164E1;2,980000000E2
4,982111111E0;7,830226570E0;-6,703498204E1;2,990000000E2
4,998766667E0;7,377902434E0;-6,717168851E1;3,000000000E2
5,015433333E0;8,075683683E0;-6,792266037E1;3,010000000E2
5,032088889E0;7,642410614E0;-6,795739451E1;3,020000000E2
5,048822222E0;7,256662072E0;-6,807321988E1;3,030000000E2
5,065411111E0;6,779913962E0;-6,806609959E1;3,040000000E2
5,082077778E0;6,525621388E0;-6,812926081E1;3,050000000E2
5,098744444E0;6,343295217E0;-6,821129775E1;3,060000000E2
5,115400000E0;6,281813082E0;-6,826482221E1;3,070000000E2
5,132077778E0;6,336910141E0;-6,829644877E1;3,080000000E2
5,148722222E0;7,386405408E0;-6,879046059E1;3,090000000E2
5,165388889E0;7,318207930E0;-6,894336085E1;3,100000000E2
5,182055556E0;6,919217657E0;-6,895517059E1;3,110000000E2
5,198700000E0;6,599299791E0;-6,900632873E1;3,120000000E2
5,215388889E0;6,419622101E0;-6,907890813E1;3,130000000E2
5,232044444E0;6,311405039E0;-6,914346918E1;3,140000000E2
