masse_A
t;x;y
5,925422222E0;-3,793850335E-3;1,331989375E-2
5,942100000E0;-3,982990039E-3;1,353139110E-2
5,958744444E0;-4,112613661E-3;1,363176783E-2
5,975422222E0;-4,227156482E-3;1,376690060E-2
5,992066667E0;-4,385109934E-3;1,384722876E-2
6,008733333E0;-4,445507985E-3;1,384786148E-2
6,025400000E0;-4,180666124E-3;1,395495306E-2
6,042066667E0;-3,960739331E-3;1,436033191E-2
6,058722222E0;-3,169800672E-3;1,470074918E-2
6,075388889E0;-2,712822048E-3;1,497700159E-2
6,092055556E0;-2,554209695E-3;1,522529053E-2
6,108711111E0;-2,550876312E-3;1,541151380E-2
6,125377778E0;-2,976276978E-3;1,544797814E-2
6,142033333E0;-3,425390801E-3;1,553410917E-2
6,158700000E0;-3,830764050E-3;1,547617316E-2
6,175366667E0;-4,389297333E-3;1,560618308E-2
6,192022222E0;-4,706813388E-3;1,577628147E-2
6,208700000E0;-4,439004435E-3;1,600906369E-2
6,225355556E0;-4,128731902E-3;1,644992236E-2
6,242022222E0;-4,036297391E-3;1,687139453E-2
6,258688889E0;-4,076201195E-3;1,707663550E-2
6,275355556E0;-4,267992621E-3;1,711594536E-2
6,292000000E0;-4,609315578E-3;1,698526619E-2
6,308677778E0;-4,770841094E-3;1,692812987E-2
6,325322222E0;-4,845069210E-3;1,690850968E-2
6,342000000E0;-4,850075439E-3;1,708681513E-2
6,358655556E0;-4,531169541E-3;1,721638200E-2
6,375322222E0;-4,449060965E-3;1,738590065E-2
6,391966667E0;-4,707751497E-3;1,747369598E-2
6,408644444E0;-4,881351779E-3;1,744068771E-2
6,425366667E0;-5,173021222E-3;1,741524208E-2
6,441966667E0;-5,158566154E-3;1,743028157E-2
6,458688889E0;-5,193099928E-3;1,744849797E-2
6,475333333E0;-5,517138352E-3;1,761357135E-2
6,491966667E0;-5,696583553E-3;1,763974943E-2
6,508622222E0;-5,912111305E-3;1,765637147E-2
6,525277778E0;-5,890640374E-3;1,766960219E-2
6,541944444E0;-5,935785822E-3;1,772459814E-2
6,558611111E0;-6,030713899E-3;1,781832878E-2
6,575277778E0;-6,230840769E-3;1,786892971E-2
6,591933333E0;-6,431637420E-3;1,792278545E-2
6,608588889E0;-6,455931550E-3;1,793032292E-2
6,625255556E0;-6,650118529E-3;1,794554856E-2
6,641922222E0;-6,831499769E-3;1,791859322E-2
6,658577778E0;-6,906979173E-3;1,798184139E-2
6,675255556E0;-6,897214709E-3;1,798664671E-2
6,691911111E0;-6,934865188E-3;1,805589769E-2
6,708577778E0;-7,041395689E-3;1,813493579E-2
6,725233333E0;-7,107115214E-3;1,815527818E-2
6,741900000E0;-7,124540389E-3;1,813005644E-2
6,758555556E0;-7,470810593E-3;1,816502653E-2
6,775233333E0;-7,888929588E-3;1,814583082E-2
6,791888889E0;-7,902149820E-3;1,817905334E-2
6,808555556E0;-8,026135343E-3;1,833583947E-2
6,825200000E0;-8,002016701E-3;1,820796066E-2
6,841866667E0;-8,186771556E-3;1,828012680E-2
6,858522222E0;-8,327400813E-3;1,832103795E-2
6,875200000E0;-8,304081553E-3;1,833214416E-2
6,891877778E0;-8,347577981E-3;1,834978045E-2
6,908511111E0;-8,495893661E-3;1,839046276E-2
6,925177778E0;-8,557513844E-3;1,849657749E-2
6,941855556E0;-8,705810738E-3;1,854943408E-2
6,958511111E0;-9,159503700E-3;1,849812425E-2
6,975200000E0;-9,437695087E-3;1,847760214E-2
6,991833333E0;-9,526665745E-3;1,851822044E-2
7,008500000E0;-9,574084875E-3;1,860531381E-2
7,025155556E0;-9,515605784E-3;1,850749175E-2
7,041811111E0;-9,879731669E-3;1,858525824E-2
7,058488889E0;-9,763092339E-3;1,873113106E-2
7,075177778E0;-9,814685045E-3;1,891316323E-2
7,091811111E0;-9,952631972E-3;1,914882597E-2
7,108466667E0;-1,002664492E-2;1,923063084E-2
7,125133333E0;-1,008183529E-2;1,936179808E-2
7,141788889E0;-1,017858191E-2;1,945188470E-2
7,158466667E0;-1,034525471E-2;1,957728359E-2
7,175144444E0;-1,052034826E-2;1,958326248E-2
7,191788889E0;-1,055547012E-2;1,964247040E-2
7,208444444E0;-1,068835909E-2;1,968816210E-2
7,225111111E0;-1,069435592E-2;1,973512385E-2
7,241777778E0;-1,072250399E-2;1,975801852E-2
7,258433333E0;-1,102647117E-2;1,970758331E-2
7,275133333E0;-1,140099717E-2;1,968914588E-2
7,291766667E0;-1,134176914E-2;1,972145404E-2
7,308422222E0;-1,137112390E-2;1,962395384E-2
7,325088889E0;-1,153740685E-2;1,964269496E-2
7,341755556E0;-1,134453929E-2;1,958731219E-2
7,358411111E0;-1,157302679E-2;1,965863397E-2
7,375088889E0;-1,157160955E-2;1,961698701E-2
7,391722222E0;-1,162348819E-2;1,959307186E-2
7,408411111E0;-1,173982113E-2;1,957665969E-2
7,425055556E0;-1,176655504E-2;1,960697710E-2
7,441733333E0;-1,177927904E-2;1,961028858E-2
7,458377778E0;-1,186497657E-2;1,962133897E-2
7,475066667E0;-1,208848202E-2;1,956408531E-2
7,491700000E0;-1,236861157E-2;1,961777462E-2
7,508377778E0;-1,218440674E-2;1,951580836E-2
7,525033333E0;-1,218469117E-2;1,951550649E-2
7,541700000E0;-1,239058685E-2;1,959159744E-2
7,558400000E0;-1,239056883E-2;1,956650906E-2
7,575022222E0;-1,259716758E-2;1,951165370E-2
