masse_A
t;x;y
3,471300000E0;-1,739390316E-2;-5,444361826E-3
3,487966667E0;-1,749159165E-2;-5,328917307E-3
3,504644444E0;-1,750865414E-2;-5,309791331E-3
3,521300000E0;-1,759539585E-2;-5,266186314E-3
3,537955556E0;-1,769425615E-2;-5,265179650E-3
3,554622222E0;-1,787410764E-2;-5,230221418E-3
3,571277778E0;-1,814334103E-2;-4,954150010E-3
3,587944444E0;-1,813800675E-2;-4,916397465E-3
3,604655556E0;-1,814058107E-2;-4,827358683E-3
3,621266667E0;-1,834979838E-2;-4,607894801E-3
3,637922222E0;-1,846877486E-2;-4,524991823E-3
3,654600000E0;-1,858474021E-2;-4,528457805E-3
3,671255556E0;-1,864797436E-2;-4,519053294E-3
3,687922222E0;-1,876023682E-2;-4,494264052E-3
3,704577778E0;-1,879599420E-2;-4,514085342E-3
3,721244444E0;-1,889736076E-2;-4,583590500E-3
3,737900000E0;-1,907895150E-2;-4,297837523E-3
3,754577778E0;-1,911257042E-2;-4,286517636E-3
3,771222222E0;-1,910498388E-2;-4,239176318E-3
3,787888889E0;-1,914920678E-2;-4,262675468E-3
3,804555556E0;-1,929657915E-2;-4,276775783E-3
3,821211111E0;-1,941914810E-2;-4,288570938E-3
3,837900000E0;-1,946958957E-2;-4,293626942E-3
3,854544444E0;-1,952017109E-2;-4,279179025E-3
3,871211111E0;-1,965204441E-2;-3,897764795E-3
3,887877778E0;-1,972395183E-2;-3,665245532E-3
3,904533333E0;-1,967663773E-2;-3,640492356E-3
3,921188889E0;-1,967251885E-2;-3,652547386E-3
3,937855556E0;-1,974136823E-2;-3,662177958E-3
3,954522222E0;-1,985357128E-2;-3,677287505E-3
3,971177778E0;-1,992812225E-2;-3,652994597E-3
3,987877778E0;-2,006962305E-2;-3,363316796E-3
4,004511111E0;-2,008626895E-2;-3,327313152E-3
4,021177778E0;-2,010903999E-2;-3,310113687E-3
4,037844444E0;-2,015279692E-2;-3,275153702E-3
4,054500000E0;-2,019415227E-2;-3,295448023E-3
4,071155556E0;-2,026161033E-2;-3,317472756E-3
4,087833333E0;-2,036503678E-2;-3,319115015E-3
4,104488889E0;-2,047826519E-2;-3,140147901E-3
4,121155556E0;-2,056551539E-2;-2,814931129E-3
4,137822222E0;-2,056211824E-2;-2,793072417E-3
4,154477778E0;-2,049909712E-2;-2,786917171E-3
4,171133333E0;-2,055688540E-2;-2,786165668E-3
4,187800000E0;-2,067648567E-2;-2,787468440E-3
4,204466667E0;-2,079803636E-2;-2,590039991E-3
4,221122222E0;-2,088236244E-2;-2,485463286E-3
4,237788889E0;-2,086428115E-2;-2,397416066E-3
4,254466667E0;-2,092510524E-2;-2,326809198E-3
4,271122222E0;-2,099308999E-2;-2,271804987E-3
4,287788889E0;-2,105944322E-2;-2,251166891E-3
4,304433333E0;-2,108818953E-2;-2,265800818E-3
4,321088889E0;-2,116191859E-2;-2,261101311E-3
4,337766667E0;-2,118586841E-2;-2,250759304E-3
4,354433333E0;-2,124675895E-2;-2,226546656E-3
4,371077778E0;-2,128031989E-2;-2,080760086E-3
4,387744444E0;-2,137360301E-2;-1,971940685E-3
4,404422222E0;-2,139259919E-2;-1,941281364E-3
